STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72530094846,2016-01-01,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18.6,0,8.6,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,23.6,0,13.6,0,0.00,I,999.9,000000
74486094789,2016-01-01,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",29.7,0,19.7,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,34.7,0,24.7,0,0.00,I,999.9,000000
72295023174,2016-01-01,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",51.1,0,41.1,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,56.1,0,46.1,0,0.00,I,999.9,000000
72530094846,2016-01-02,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",27.1,0,17.1,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,32.1,0,22.1,0,0.00,I,999.9,000000
74486094789,2016-01-02,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",43.8,0,33.8,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,48.8,0,38.8,0,0.00,I,999.9,000000
72295023174,2016-01-02,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",48.9,0,38.9,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,53.9,0,43.9,0,0.00,I,999.9,000000
72530094846,2016-01-03,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.9,0,5.9,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,20.9,0,10.9,0,0.00,I,999.9,000000
74486094789,2016-01-03,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",25.6,0,15.6,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,30.6,0,20.6,0,0.00,I,999.9,000000
72295023174,2016-01-03,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",52.1,0,42.1,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,57.1,0,47.1,0,0.00,I,999.9,000000
72530094846,2016-01-04,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",23.4,0,13.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,28.4,0,18.4,0,0.00,I,999.9,000000
74486094789,2016-01-04,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",27.4,0,17.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,32.4,0,22.4,0,0.00,I,999.9,000000
72295023174,2016-01-04,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",59.1,0,49.1,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,64.1,0,54.1,0,0.00,I,999.9,000000
72530094846,2016-01-05,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",18.4,0,8.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,23.4,0,13.4,0,0.00,I,999.9,000000
74486094789,2016-01-05,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",29.2,0,19.2,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,34.2,0,24.2,0,0.00,I,999.9,000000
72295023174,2016-01-05,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",53.5,0,43.5,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,58.5,0,48.5,0,0.00,I,999.9,000000
72530094846,2016-01-06,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",13.4,0,3.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,18.4,0,8.4,0,0.00,I,999.9,000000
74486094789,2016-01-06,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",31.1,0,21.1,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,36.1,0,26.1,0,0.00,I,999.9,000000
72295023174,2016-01-06,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",53.2,0,43.2,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,58.2,0,48.2,0,0.00,I,999.9,000000
72530094846,2016-01-07,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.8,0,5.8,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,20.8,0,10.8,0,0.00,I,999.9,000000
74486094789,2016-01-07,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",31.2,0,21.2,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,36.2,0,26.2,0,0.00,I,999.9,000000
72295023174,2016-01-07,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",54.5,0,44.5,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,59.5,0,49.5,0,0.00,I,999.9,000000
72530094846,2016-01-08,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",17.4,0,7.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,22.4,0,12.4,0,0.00,I,999.9,000000
74486094789,2016-01-08,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",34.4,0,24.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,39.4,0,29.4,0,0.00,I,999.9,000000
72295023174,2016-01-08,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",60.9,0,50.9,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,65.9,0,55.9,0,0.00,I,999.9,000000
72530094846,2016-01-09,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",31.8,0,21.8,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,36.8,0,26.8,0,0.00,I,999.9,000000
74486094789,2016-01-09,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",25.4,0,15.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,30.4,0,20.4,0,0.00,I,999.9,000000
72295023174,2016-01-09,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",48.6,0,38.6,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,53.6,0,43.6,0,0.00,I,999.9,000000
72530094846,2016-01-10,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",21.4,0,11.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,26.4,0,16.4,0,0.00,I,999.9,000000
74486094789,2016-01-10,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",19.7,0,9.7,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,24.7,0,14.7,0,0.00,I,999.9,000000
72295023174,2016-01-10,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",50.6,0,40.6,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,55.6,0,45.6,0,0.00,I,999.9,000000
72530094846,2016-01-11,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",15.1,0,5.1,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,20.1,0,10.1,0,0.00,I,999.9,000000
74486094789,2016-01-11,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",33.4,0,23.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,38.4,0,28.4,0,0.00,I,999.9,000000
72295023174,2016-01-11,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",49.4,0,39.4,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,54.4,0,44.4,0,0.00,I,999.9,000000
72530094846,2016-01-12,41.96,-87.93,201.8,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",8.9,0,-1.1,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,13.9,0,3.9,0,0.00,I,999.9,000000
74486094789,2016-01-12,40.64,-73.78,3.4,"JFK INTERNATIONAL AIRPORT, NY US",23.5,0,13.5,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,28.5,0,18.5,0,0.00,I,999.9,000000
72295023174,2016-01-12,33.94,-118.4,29.6,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",52.7,0,42.7,0,1013.2,0,1010.5,0,10.0,0,5.4,0,12.0,999.9,57.7,0,47.7,0,0.00,I,999.9,000000
